customer_id,customer_name,email,phone,address,area,pincode,registration_date,customer_segment,last_order_date,first_order_date,frequency,monetary,total_orders,recency_days,on_time_orders,avg_delay_score,on_time_ratio,avg_order_value,customer_lifespan_days,orders_per_month,avg_rating,count_feedback,negative_feedback_count,positive_feedback_count,avg_sentiment,avg_text_sentiment,text_negative_count,last_feedback_date,had_negative_feedback,churn,snapshot_date
97475543,Niharika Nagi,ektataneja@example.org,912987579691,"23, Nayar Path, Bihar Sharif-154625",Udupi,321865,2023-05-13,Premium,2023-07-31 23:19:05,2023-06-05 04:44:35,2.0,7497.5599999999995,2.0,31.0,1.0,0.5,0.5,3748.7799999999997,56.0,1.0714285714285714,3.5,2.0,1.0,0.0,-0.5,0.13545000000000001,1.0,2023-07-31 00:00:00,1,0,2023-09-01
88202341,Jagrati Dubey,vasatika03@example.net,916290915278,"470, Kibe Zila, Tirupati-332036",Kottayam,174979,2023-08-20,Inactive,2023-08-18 07:48:46,2023-06-10 15:59:50,2.0,4966.29,2.0,13.0,2.0,0.0,1.0,2483.145,68.0,0.8823529411764706,3.5,2.0,1.0,0.0,-0.5,0.2202,0.0,2023-08-18 00:00:00,1,1,2023-09-01
48511124,Girish Shankar,aggarwalhenry@example.org,912703776064,"H.No. 39, Sekhon Street, Sagar 312966",Korba,315557,2023-05-15,Inactive,2023-03-30 10:56:02,2023-03-30 10:56:02,1.0,2295.91,1.0,154.0,1.0,0.0,1.0,2295.91,0.0,1.0,4.0,1.0,0.0,0.0,0.0,0.4404,0.0,2023-03-30 00:00:00,0,1,2023-09-01
26303194,Janaki Parsa,bhargavanachiket@example.org,911394026169,"49
Varghese Road, Raichur-972279",Pali,544786,2023-04-29,Premium,2023-08-12 10:41:14,2023-08-12 10:41:14,1.0,539.92,1.0,19.0,1.0,0.0,1.0,539.92,0.0,1.0,3.0,1.0,1.0,0.0,-1.0,-0.5256,1.0,2023-08-12 00:00:00,1,1,2023-09-01
41640262,Vihaan Gola,samesh12@example.com,913681309390,"708
Rao Nagar
Gandhidham-720600",Ulhasnagar,275919,2023-08-17,Inactive,2023-07-12 19:57:22,2023-06-30 19:38:42,2.0,4496.09,2.0,50.0,2.0,0.0,1.0,2248.045,12.0,5.0,4.0,2.0,0.0,1.0,0.5,0.20095,0.0,2023-07-12 00:00:00,0,0,2023-09-01
59207798,Chakrika Bhargava,omlopa@example.org,912674586312,"18
Master Zila
Miryalaguda 319766",Ballia,78765,2023-07-02,Premium,2023-04-07 02:30:48,2023-04-07 02:30:48,1.0,4477.39,1.0,146.0,1.0,0.0,1.0,4477.39,0.0,1.0,3.0,1.0,1.0,0.0,-1.0,-0.4404,1.0,2023-04-07 00:00:00,1,1,2023-09-01
93924203,Xalak Goyal,iyengaryashoda@example.net,919121320359,"H.No. 86
Bath Path, Aligarh 524302",Jorhat,23557,2023-04-21,Premium,2023-08-30 11:52:03,2023-08-01 11:56:52,2.0,4966.34,2.0,1.0,2.0,0.0,1.0,2483.17,28.0,2.142857142857143,3.0,2.0,1.0,1.0,0.0,0.08505000000000001,1.0,2023-08-30 00:00:00,1,0,2023-09-01
51592174,Jasmit Sura,anusha59@example.com,912105350444,"H.No. 821, Barman Street
Bhagalpur 755691",Secunderabad,271886,2023-08-11,New,2023-08-26 23:09:46,2023-06-06 14:31:34,2.0,1860.0600000000002,2.0,5.0,2.0,0.0,1.0,930.0300000000001,81.0,0.7407407407407407,2.5,2.0,1.0,1.0,0.0,0.05295,1.0,2023-08-26 00:00:00,1,1,2023-09-01
67696145,Isaac Rattan,yuvrajkant@example.net,919860704868,"79/94, Kuruvilla Road, Bihar Sharif-023568",Bettiah,523966,2023-06-06,Regular,2023-05-18 08:44:54,2023-05-18 08:44:54,1.0,3246.38,1.0,105.0,0.0,1.0,0.0,3246.38,0.0,1.0,4.0,1.0,0.0,1.0,1.0,0.3804,0.0,2023-05-18 00:00:00,0,0,2023-09-01
6291143,Banjeet Oak,abhatia@example.com,917842043541,"56/942
Rajan Road
Mysore 031754",Yamunanagar,135844,2023-08-05,Inactive,2023-08-18 15:16:56,2023-08-18 15:16:56,1.0,3354.47,1.0,13.0,1.0,0.0,1.0,3354.47,0.0,1.0,5.0,1.0,0.0,1.0,1.0,0.4019,0.0,2023-08-18 00:00:00,0,1,2023-09-01
1719710,Pushti Sabharwal,ramachandranharini@example.com,913657008587,"49, Halder Circle, Dindigul-895174",Giridih,798390,2023-06-26,New,2023-06-29 04:47:55,2023-06-29 04:47:55,1.0,778.9,1.0,63.0,1.0,0.0,1.0,778.9,0.0,1.0,4.0,1.0,0.0,1.0,1.0,0.6468,0.0,2023-06-29 00:00:00,0,0,2023-09-01
21677923,Lipika Mukhopadhyay,masonnayar@example.net,915843023006,"045
Nath Circle, Nagpur-291495",Kakinada,247798,2023-07-18,New,2023-06-03 04:14:03,2023-04-05 01:03:31,2.0,5887.96,2.0,89.0,2.0,0.0,1.0,2943.98,59.0,1.0169491525423728,3.0,2.0,1.0,1.0,0.0,0.24465000000000003,1.0,2023-06-03 00:00:00,1,1,2023-09-01
20148223,Manbir Dua,schar@example.org,910841775043,"H.No. 573, Comar Road, Proddatur-125060",Kamarhati,675142,2023-05-26,Inactive,2023-07-23 23:59:23,2023-07-23 23:59:23,1.0,2528.88,1.0,39.0,1.0,0.0,1.0,2528.88,0.0,1.0,3.0,1.0,0.0,0.0,0.0,0.4404,0.0,2023-07-24 00:00:00,0,0,2023-09-01
